category,subcategory,item,unit,unit_cost_min,unit_cost_max,spec_level,material_factor,labor_factor,equipment_factor,notes
Civil,Site Preparation,Mobilization / Demobilization,lot,30000,150000,General,0.0,0.0,0.0,Project startup and closeout
Civil,Site Preparation,Clearing and Grubbing,sqm,45,120,Basic,0.0,0.0,0.0,"Vegetation, debris, and topsoil stripping"
Civil,Earthworks,Structure Excavation - Common Soil,cum,300,650,Basic,0.0,0.0,0.0,Manual or machine excavation
Civil,Earthworks,Structure Excavation - Rock,cum,1200,2800,Basic,0.0,0.0,0.0,Rock excavation
Civil,Earthworks,Backfilling with Selected Fill,cum,300,650,Basic,0.0,0.0,0.0,Backfill and placement
Civil,Earthworks,Compaction,sqm,80,180,Basic,0.0,0.0,0.0,Compaction of fill/subgrade
Civil,Subbase and Base,Gravel Bedding,cum,1400,2300,Basic,0.0,0.0,0.0,Selected gravel or bedding material
Civil,Subbase and Base,Aggregate Base Course,cum,1800,3000,Basic,0.0,0.0,0.0,Road or slab base
Civil,Treatment,Soil Poisoning / Termite Treatment,sqm,150,350,Basic,0.0,0.0,0.0,Under-slab termite treatment
Civil,Pavement,Plain Cement Concrete Pavement,sqm,1600,3200,Basic,0.0,0.0,0.0,"Site paving, non-structural"
Civil,Pavement,Reinforced Concrete Pavement,sqm,2200,4200,Basic,0.0,0.0,0.0,Site paving with reinforcement
Civil,Drainage,Canal / Trench Drain,lm,1800,4200,Basic,0.0,0.0,0.0,Typical site drainage
Civil,Drainage,Catch Basin,set,9000,28000,Basic,0.0,0.0,0.0,Precast or cast-in-place
Civil,Waterproofing,Waterproofing for Podium / Deck,sqm,450,1200,Standard,0.0,0.0,0.0,Membrane/system only
Civil,Fence and Gates,Perimeter Fence - CHB,lm,3000,7000,Basic,0.0,0.0,0.0,Typical fence line
Civil,Fence and Gates,Steel Gate,set,18000,95000,Standard,0.0,0.0,0.0,Swing/sliding gate
Civil,Landscaping,Topsoil and Planting,sqm,500,1800,Standard,0.0,0.0,0.0,Basic landscape works
Civil,Utilities,Underground Utility Trenching,lm,500,1500,Basic,0.0,0.0,0.0,For small utility runs
Structural,Concrete Works,Lean Concrete / Blinding,cum,4500,7000,Basic,0.0,0.0,0.0,Non-structural blinding
Structural,Concrete Works,Reinforced Concrete Footing,cum,9000,13500,Standard,0.0,0.0,0.0,"Includes concrete, labor, minor accessories"
Structural,Concrete Works,Reinforced Concrete Tie Beam,cum,9500,14500,Standard,0.0,0.0,0.0,Typical grade/tie beam
Structural,Concrete Works,Reinforced Concrete Column,cum,10000,15000,Standard,0.0,0.0,0.0,Typical cast-in-place column
Structural,Concrete Works,Reinforced Concrete Beam,cum,10000,15000,Standard,0.0,0.0,0.0,Typical cast-in-place beam
Structural,Concrete Works,Reinforced Concrete Slab on Grade,cum,9000,13500,Standard,0.0,0.0,0.0,Concrete only estimate
Structural,Concrete Works,Reinforced Concrete Suspended Slab,cum,10000,15000,Standard,0.0,0.0,0.0,Typical suspended slab
Structural,Concrete Works,Reinforced Concrete Shear Wall,cum,10500,16000,Standard,0.0,0.0,0.0,Wall element
Structural,Concrete Works,Reinforced Concrete Stairs,cum,11000,16500,Standard,0.0,0.0,0.0,Waist slab + steps
Structural,Formworks,Formworks - Footing,sqm,450,900,Basic,0.0,0.0,0.0,Side forms
Structural,Formworks,Formworks - Column,sqm,550,1000,Basic,0.0,0.0,0.0,Column forms
Structural,Formworks,Formworks - Beam,sqm,500,950,Basic,0.0,0.0,0.0,Beam forms
Structural,Formworks,Formworks - Slab,sqm,400,850,Basic,0.0,0.0,0.0,Slab forms and supports
Structural,Reinforcement,Reinforcing Steel Bars - Supply and Install,kg,78,115,Standard,0.0,0.0,0.0,Rebar including placing
Structural,Reinforcement,Tie Wire,kg,95,150,Basic,0.0,0.0,0.0,Binding wire
